Fecha	Distancia	angCara_+X	angCara_+Y	angCara_+Z	angCara_-X	angCara_-Y	angCara_-Z	angPanel_1
2023-03-21 00:00:00	148975048.26092	148.11332544598943	72.04819618756889	64.5959020175055	31.886674554010586	107.95180381243112	115.40409798249449	72.04819618756889
2023-03-21 12:00:00	149006197.92775008	51.923472357641046	131.24342432691788	64.5220060312381	128.07652764235897	48.75657567308213	115.47799396876188	131.24342432691788
2023-03-22 00:00:00	149022243.99774545	104.51331412746212	29.919103627214888	64.45317122460216	75.4866858725379	150.0808963727851	115.54682877539784	29.919103627214888
2023-03-22 12:00:00	149046116.76155216	99.78233899372893	152.31610856752076	64.37936985917521	80.21766100627109	27.683891432479246	115.6206301408248	152.31610856752076
2023-03-23 00:00:00	149075667.1226233	56.479068473178145	44.58683330341702	64.31773454822398	123.52093152682185	135.41316669658298	115.68226545177602	44.58683330341702
2023-03-23 12:00:00	149081800.18822157	144.57868634535393	112.55049665246825	64.24231454683405	35.42131365464608	67.44950334753175	115.75768545316595	112.55049665246825
2023-03-24 00:00:00	149120647.5727533	25.883590195631236	91.55543776490853	64.17019341104799	154.11640980436877	88.44456223509147	115.82980658895201	91.55543776490853
2023-03-24 12:00:00	149126880.01191393	142.06121692398324	64.36864816355697	64.09401489853256	37.93878307601677	115.63135183644305	115.90598510146745	64.36864816355697
2023-03-25 00:00:00	149155125.58170435	59.5450138812369	137.9412256330219	64.02338721831683	120.4549861187631	42.05877436697809	115.97661278168317	137.9412256330219
2023-03-25 12:00:00	149171089.8498097	96.57516508163935	26.989547311860903	63.95067899792651	83.42483491836067	153.0104526881391	116.04932100207348	26.989547311860903
2023-03-26 00:00:00	149191253.51176855	107.54919549906994	147.75555763090168	63.885981366176836	72.45080450093006	32.24444236909833	116.11401863382319	147.75555763090168
2023-03-26 12:00:00	149220497.62225834	49.31353789882306	51.922239154026286	63.82043474332948	130.68646210117694	128.07776084597373	116.17956525667053	51.922239154026286
2023-03-27 00:00:00	149233599.7782963	149.3486307726855	104.68797837584178	63.75001481965255	30.6513692273145	75.3120216241582	116.24998518034747	104.68797837584178
2023-03-27 12:00:00	149260587.66927478	28.206468267053296	99.41072841696395	63.67473387174604	151.79353173294672	80.58927158303605	116.32526612825396	99.41072841696395
2023-03-28 00:00:00	149275302.26285627	135.2442043055644	56.91389436072493	63.59770227050914	44.75579569443561	123.08610563927508	116.40229772949088	56.91389436072493
2023-03-28 12:00:00	149299837.24917012	67.28171510455405	143.86313462110712	63.53432029373334	112.71828489544595	36.13686537889289	116.46567970626666	143.86313462110712
2023-03-29 00:00:00	149315245.8604425	88.6668948271069	26.56811268032104	63.47066873372823	91.33310517289308	153.43188731967896	116.52933126627177	26.56811268032104
2023-03-29 12:00:00	149341019.3949094	115.15266274499731	141.88212895928413	63.407431689658836	64.84733725500271	38.11787104071589	116.59256831034116	141.88212895928413
2023-03-30 00:00:00	149369061.61383778	42.64492489339992	59.497828187766146	63.34094715214877	137.35507510660008	120.50217181223387	116.65905284785124	59.497828187766146
2023-03-30 12:00:00	149378703.36054617	152.26947376970992	96.82310256658799	63.26327641990269	27.730526230290078	83.17689743341202	116.73672358009732	96.82310256658799
2023-03-31 00:00:00	149412683.96027774	32.600663086774546	107.15350432065944	63.1993888378742	147.39933691322545	72.84649567934056	116.8006111621258	107.15350432065944
2023-03-31 12:00:00	149415406.8446431	128.00590206364268	49.80619669309739	63.12451486590481	51.99409793635733	130.19380330690262	116.8754851340952	49.80619669309739
2023-04-01 00:00:00	149445306.48661762	75.07139202536334	148.59540448086278	63.067382478384395	104.92860797463666	31.404595519137217	116.93261752161563	148.59540448086278
2023-04-01 12:00:00	149469086.39051646	80.83955331992672	28.753139855998963	63.00393082522498	99.16044668007328	151.24686014400106	116.99606917477504	28.753139855998963
2023-04-02 00:00:00	149479792.5054163	122.53012135096223	135.22305848105435	62.9411124207674	57.46987864903778	44.776941518945684	117.05888757923259	135.22305848105435
2023-04-02 12:00:00	149515469.20359644	36.750221679826964	67.19980130753098	62.8785256427586	143.24977832017305	112.80019869246904	117.12147435724138	67.19980130753098
2023-04-03 00:00:00	149520910.83265656	152.78669837012433	88.97950042663386	62.809048994783744	27.2133016298757	91.02049957336615	117.19095100521628	88.97950042663386
2023-04-03 12:00:00	149560360.294097	38.33973921084013	114.73278631462864	62.742628318593326	141.66026078915988	65.26721368537136	117.25737168140668	114.73278631462864
2023-04-04 00:00:00	149570243.3413793	120.50158108164814	43.177792606455704	62.683191190852156	59.49841891835185	136.82220739354432	117.31680880914784	43.177792606455704
2023-04-04 12:00:00	149594185.54956454	82.87450857444819	151.55367438635471	62.61930077335059	97.12549142555181	28.446325613645296	117.38069922664941	151.55367438635471
2023-04-05 00:00:00	149615369.9744335	73.1068674092673	33.00643592393417	62.56430099676953	106.89313259073272	146.99356407606584	117.43569900323048	33.00643592393417
2023-04-05 12:00:00	149629950.92734167	129.58387028565417	128.1053740653848	62.50482442016325	50.416129714345814	51.89462593461518	117.49517557983678	128.1053740653848
2023-04-06 00:00:00	149661839.6939702	32.02648450295682	74.97590597858002	62.4426509799097	147.9735154970432	105.02409402141998	117.55734902009031	74.97590597858002
2023-04-06 12:00:00	149672014.66564232	150.76897578761097	81.19944382473918	62.370874178089316	29.23102421238905	98.80055617526082	117.62912582191068	81.19944382473918
2023-04-07 00:00:00	149705824.35745192	44.8890415137804	122.08835849566331	62.315055362647335	135.1109584862196	57.911641504336686	117.6849446373527	122.08835849566331
