Fecha	Distancia	cosCara_+X	cosCara_+Y	cosCara_+Z	cosCara_-X	cosCara_-Y	cosCara_-Z	cosPanel_1
2023-03-21 00:00:00	148975048.26092	-0.849094565107105	0.30821687336638465	0.4289997418155705	0.849094565107105	-0.30821687336638465	-0.4289997418155705	0.30821687336638465
2023-03-21 12:00:00	149006197.92775008	0.6167134397606995	-0.6592595242491557	0.43016440218282037	-0.6167134397606995	0.6592595242491557	-0.43016440218282037	-0.6592595242491557
2023-03-22 00:00:00	149022243.99774545	-0.25060497095003875	0.8667304943749904	0.4312486506130945	0.25060497095003875	-0.8667304943749904	-0.4312486506130945	0.8667304943749904
2023-03-22 12:00:00	149046116.76155216	-0.1699057462849872	-0.885524279958311	0.43241043810673263	0.1699057462849872	0.885524279958311	-0.43241043810673263	-0.885524279958311
2023-03-23 00:00:00	149075667.1226233	0.5522415870285867	0.7121873835100843	0.4333801568198622	-0.5522415870285867	-0.7121873835100843	-0.4333801568198622	0.7121873835100843
2023-03-23 12:00:00	149081800.18822157	-0.8149122505338282	-0.38349752901396694	0.4345660699710378	0.8149122505338282	0.38349752901396694	-0.4345660699710378	-0.38349752901396694
2023-03-24 00:00:00	149120647.5727533	0.8996828443258548	-0.02714417586859712	0.43569940709410493	-0.8996828443258548	0.02714417586859712	-0.43569940709410493	-0.02714417586859712
2023-03-24 12:00:00	149126880.01191393	-0.7886680991285975	0.4325791603302496	0.4368957535440929	0.7886680991285975	-0.4325791603302496	-0.4368957535440929	0.4325791603302496
2023-03-25 00:00:00	149155125.58170435	0.5068612756862999	-0.7424580362624953	0.4380042369645482	-0.5068612756862999	0.7424580362624953	-0.4380042369645482	-0.7424580362624953
2023-03-25 12:00:00	149171089.8498097	-0.1145065611963111	0.8910893325834205	0.43914467866413875	0.1145065611963111	-0.8910893325834205	-0.43914467866413875	0.8910893325834205
2023-03-26 00:00:00	149191253.51176855	-0.3015245722835196	-0.8457795777771857	0.44015887827497724	0.3015245722835196	0.8457795777771857	-0.44015887827497724	-0.8457795777771857
2023-03-26 12:00:00	149220497.62225834	0.6519192529596234	0.6167303826243141	0.4411858143329566	-0.6519192529596234	-0.6167303826243141	-0.4411858143329566	0.6167303826243141
2023-03-27 00:00:00	149233599.7782963	-0.8602852938561195	-0.25355498985708114	0.4422884582412994	0.8602852938561195	0.25355498985708114	-0.4422884582412994	-0.25355498985708114
2023-03-27 12:00:00	149260587.66927478	0.8812500989849704	-0.1635106912651862	0.44346647774207326	-0.8812500989849704	0.1635106912651862	-0.44346647774207326	-0.1635106912651862
2023-03-28 00:00:00	149275302.26285627	-0.7101141581195785	0.5458987962081961	0.4446710995067757	0.7101141581195785	-0.5458987962081961	-0.4446710995067757	0.5458987962081961
2023-03-28 12:00:00	149299837.24917012	0.3862004337512458	-0.807610614632411	0.44566166550805036	-0.3862004337512458	0.807610614632411	-0.44566166550805036	-0.807610614632411
2023-03-29 00:00:00	149315245.8604425	0.02326497530116922	0.8944032936196561	0.4466558958376655	-0.02326497530116922	-0.8944032936196561	-0.4466558958376655	0.8944032936196561
2023-03-29 12:00:00	149341019.3949094	-0.42503158640357225	-0.7867425249501859	0.44764310560341397	0.42503158640357225	0.7867425249501859	-0.44764310560341397	-0.7867425249501859
2023-03-30 00:00:00	149369061.61383778	0.7355661310449735	0.5075710228856772	0.44868042478619086	-0.7355661310449735	-0.5075710228856772	-0.44868042478619086	0.5075710228856772
2023-03-30 12:00:00	149378703.36054617	-0.8851458400580524	-0.11880433810438923	0.44989151033944064	0.8851458400580524	0.11880433810438923	-0.44989151033944064	-0.11880433810438923
2023-03-31 00:00:00	149412683.96027774	0.8424461617308752	-0.29493274179895035	0.4508870616904752	-0.8424461617308752	0.29493274179895035	-0.4508870616904752	-0.29493274179895035
2023-03-31 12:00:00	149415406.8446431	-0.6157426453960727	0.6453750773484779	0.4520530988480142	0.6157426453960727	-0.6453750773484779	-0.4520530988480142	0.6453750773484779
2023-04-01 00:00:00	149445306.48661762	0.25761527589606287	-0.8535090059416934	0.4529423212743736	-0.25761527589606287	0.8535090059416934	-0.4529423212743736	-0.8535090059416934
2023-04-01 12:00:00	149469086.39051646	0.15919969428136818	0.8767003958096	0.45392937041792064	-0.15919969428136818	-0.8767003958096	-0.45392937041792064	0.8767003958096
2023-04-02 00:00:00	149479792.5054163	-0.5377429190868772	-0.7098542565783431	0.45490602039270983	0.5377429190868772	0.7098542565783431	-0.45490602039270983	-0.7098542565783431
2023-04-02 12:00:00	149515469.20359644	0.8012514977415363	0.3875187833216412	0.4558785254208186	-0.8012514977415363	-0.3875187833216412	-0.4558785254208186	0.3875187833216412
2023-04-03 00:00:00	149520910.83265656	-0.8893102307319398	0.017810135870705974	0.45695745160328805	0.8893102307319398	-0.017810135870705974	-0.45695745160328805	0.017810135870705974
2023-04-03 12:00:00	149560360.294097	0.7843463154228524	-0.41838688021120257	0.45798829237190364	-0.7843463154228524	0.41838688021120257	-0.45798829237190364	-0.41838688021120257
2023-04-04 00:00:00	149570243.3413793	-0.5075621394935051	0.7292338977338713	0.45891022754852767	0.5075621394935051	-0.7292338977338713	-0.45891022754852767	0.7292338977338713
2023-04-04 12:00:00	149594185.54956454	0.12404296220752979	-0.8792637268076082	0.4599006873741083	-0.12404296220752979	0.8792637268076082	-0.4599006873741083	-0.8792637268076082
2023-04-05 00:00:00	149615369.9744335	0.29058750888402496	0.8386093844066808	0.46075286224355105	-0.29058750888402496	-0.8386093844066808	-0.46075286224355105	0.8386093844066808
