Fecha	Distancia	cosCara_+X	cosCara_+Y	cosCara_+Z	cosCara_-X	cosCara_-Y	cosCara_-Z
2024-06-01 12:00:00	151710069.65989313	nan	nan	nan	nan	nan	nan
2024-06-01 12:00:30	151709680.09896284	nan	nan	nan	nan	nan	nan
2024-06-01 12:01:00	151709660.50092852	nan	nan	nan	nan	nan	nan
2024-06-01 12:01:30	151718264.2329915	nan	nan	nan	nan	nan	nan
2024-06-01 12:02:00	151717855.7538601	nan	nan	nan	nan	nan	nan
2024-06-01 12:02:30	151717441.17625538	nan	nan	nan	nan	nan	nan
2024-06-01 12:03:00	151717020.63453373	nan	nan	nan	nan	nan	nan
2024-06-01 12:03:30	151716594.0769773	nan	nan	nan	nan	nan	nan
2024-06-01 12:04:00	151716161.6969771	nan	nan	nan	nan	nan	nan
2024-06-01 12:04:30	151716046.76326302	nan	nan	nan	nan	nan	nan
2024-06-01 12:05:00	151715979.54484	nan	nan	nan	nan	nan	nan
2024-06-01 12:05:30	151715530.38965303	nan	nan	nan	nan	nan	nan
2024-06-01 12:06:00	151715075.91903478	nan	nan	nan	nan	nan	nan
2024-06-01 12:06:30	151714616.13304034	nan	nan	nan	nan	nan	nan
2024-06-01 12:07:00	151714151.38824284	nan	nan	nan	nan	nan	nan
2024-06-01 12:07:30	151714004.7122134	nan	nan	nan	nan	nan	nan
2024-06-01 12:08:00	151713530.16243094	nan	nan	nan	nan	nan	nan
2024-06-01 12:08:30	151713051.05347225	nan	nan	nan	nan	nan	nan
2024-06-01 12:09:00	151712567.46066827	nan	nan	nan	nan	nan	nan
2024-06-01 12:09:30	151712455.85909355	nan	nan	nan	nan	nan	nan
2024-06-01 12:10:00	151711963.72513163	nan	nan	nan	nan	nan	nan
2024-06-01 12:10:30	151711790.72062787	nan	nan	nan	nan	nan	nan
2024-06-01 12:11:00	151711290.86059004	nan	nan	nan	nan	nan	nan
2024-06-01 12:11:30	151710787.35450888	nan	nan	nan	nan	nan	nan
2024-06-01 12:12:00	151710280.53674015	nan	nan	nan	nan	nan	nan
2024-06-01 12:12:30	151709770.3427333	0.4276255372522606	0.342683664692661	0.8364832968102375	-0.4276255372522606	-0.342683664692661	-0.8364832968102375
2024-06-01 12:13:00	151709257.06920454	0.4007259694076195	0.3426971750106183	0.8496924994855877	-0.4007259694076195	-0.3426971750106183	-0.8496924994855877
2024-06-01 12:13:30	151709440.4180854	0.37343354330252954	0.3426804413459915	0.8620426345926485	-0.37343354330252954	-0.3426804413459915	-0.8620426345926485
2024-06-01 12:14:00	151708921.60213855	0.3457521636129055	0.34268969844898844	0.8735097091240235	-0.3457521636129055	-0.34268969844898844	-0.8735097091240235
2024-06-01 12:14:30	151708400.39381883	0.3177301028155306	0.3426726092165977	0.8840944885347503	-0.3177301028155306	-0.3426726092165977	-0.8840944885347503
2024-06-01 12:15:00	151707876.86312592	0.28936581762538505	0.3426701407699072	0.8937810683913173	-0.28936581762538505	-0.3426701407699072	-0.8937810683913173
2024-06-01 12:15:30	151707351.3290004	0.2607161067638372	0.34268295205172145	0.9025494479789045	-0.2607161067638372	-0.34268295205172145	-0.9025494479789045
2024-06-01 12:16:00	151706823.91597396	0.23178417329304968	0.3426771200997865	0.9104111644586605	-0.23178417329304968	-0.3426771200997865	-0.9104111644586605
2024-06-01 12:16:30	151706617.90049353	0.20263266639262895	0.3426618600458498	0.9173455467709712	-0.20263266639262895	-0.3426618600458498	-0.9173455467709712
2024-06-01 12:17:00	151706087.3507281	0.17325438501429496	0.34266096445811134	0.9233452125342696	-0.17325438501429496	-0.34266096445811134	-0.9233452125342696
2024-06-01 12:17:30	151705555.58160776	0.1437078088074566	0.3426538845919201	0.928405289225469	-0.1437078088074566	-0.3426538845919201	-0.928405289225469
2024-06-01 12:18:00	151705399.22148472	0.11400287965558331	0.3426513254636932	0.9325199261078602	-0.11400287965558331	-0.3426513254636932	-0.9325199261078602
2024-06-01 12:18:30	151704865.58217916	0.08417454054907836	0.34263988434836923	0.9356882794911391	-0.08417454054907836	-0.34263988434836923	-0.9356882794911391
2024-06-01 12:19:00	151704331.4053568	0.05427096060629185	0.34264729439362035	0.9378952470716558	-0.05427096060629185	-0.34264729439362035	-0.9378952470716558
2024-06-01 12:19:30	151704119.8158662	0.02430839352184261	0.3426378375115827	0.9391530302936649	-0.02430839352184261	-0.3426378375115827	-0.9391530302936649
2024-06-01 12:20:00	151712268.71886152	-0.005670237335952344	0.3426621639745354	0.9394415840215093	0.005670237335952344	-0.3426621639745354	-0.9394415840215093
2024-06-01 12:20:30	151711734.04686928	-0.03567425004111508	0.34265772489804647	0.93878273921696	0.03567425004111508	-0.34265772489804647	-0.93878273921696
2024-06-01 12:21:00	151711199.70280743	-0.06562708746075753	0.3426686778967549	0.9371612788522092	0.06562708746075753	-0.3426686778967549	-0.9371612788522092
2024-06-01 12:21:30	151710665.84884304	-0.09551786900910776	0.3426469014788932	0.9345958686014362	0.09551786900910776	-0.3426469014788932	-0.9345958686014362
2024-06-01 12:22:00	151710132.6451404	-0.12532133358673642	0.3426359402278103	0.9310720572610085	0.12532133358673642	-0.3426359402278103	-0.9310720572610085
2024-06-01 12:22:30	151710299.64662108	-0.15500279680688567	0.34262982987765633	0.9265953446138461	0.15500279680688567	-0.34262982987765633	-0.9265953446138461
2024-06-01 12:23:00	151709768.5011678	-0.18452317167571924	0.342639716902924	0.9211673157008	0.18452317167571924	-0.342639716902924	-0.9211673157008
