Fecha	Distancia	angCara_+X	angCara_+Y	angCara_+Z	angCara_-X	angCara_-Y	angCara_-Z
2024-06-01 12:00:00	151710069.65989313	nan	nan	nan	nan	nan	nan
2024-06-01 12:00:30	151709680.09896284	nan	nan	nan	nan	nan	nan
2024-06-01 12:01:00	151709660.50092852	nan	nan	nan	nan	nan	nan
2024-06-01 12:01:30	151718264.2329915	nan	nan	nan	nan	nan	nan
2024-06-01 12:02:00	151717855.7538601	nan	nan	nan	nan	nan	nan
2024-06-01 12:02:30	151717441.17625538	nan	nan	nan	nan	nan	nan
2024-06-01 12:03:00	151717020.63453373	nan	nan	nan	nan	nan	nan
2024-06-01 12:03:30	151716594.0769773	nan	nan	nan	nan	nan	nan
2024-06-01 12:04:00	151716161.6969771	nan	nan	nan	nan	nan	nan
2024-06-01 12:04:30	151716046.76326302	nan	nan	nan	nan	nan	nan
2024-06-01 12:05:00	151715979.54484	nan	nan	nan	nan	nan	nan
2024-06-01 12:05:30	151715530.38965303	nan	nan	nan	nan	nan	nan
2024-06-01 12:06:00	151715075.91903478	nan	nan	nan	nan	nan	nan
2024-06-01 12:06:30	151714616.13304034	nan	nan	nan	nan	nan	nan
2024-06-01 12:07:00	151714151.38824284	nan	nan	nan	nan	nan	nan
2024-06-01 12:07:30	151714004.7122134	nan	nan	nan	nan	nan	nan
2024-06-01 12:08:00	151713530.16243094	nan	nan	nan	nan	nan	nan
2024-06-01 12:08:30	151713051.05347225	nan	nan	nan	nan	nan	nan
2024-06-01 12:09:00	151712567.46066827	nan	nan	nan	nan	nan	nan
2024-06-01 12:09:30	151712455.85909355	nan	nan	nan	nan	nan	nan
2024-06-01 12:10:00	151711963.72513163	nan	nan	nan	nan	nan	nan
2024-06-01 12:10:30	151711790.72062787	nan	nan	nan	nan	nan	nan
2024-06-01 12:11:00	151711290.86059004	nan	nan	nan	nan	nan	nan
2024-06-01 12:11:30	151710787.35450888	nan	nan	nan	nan	nan	nan
2024-06-01 12:12:00	151710280.53674015	nan	nan	nan	nan	nan	nan
2024-06-01 12:12:30	151709770.3427333	64.68303511517495	69.95953797792696	33.229393427277664	115.31696488482505	110.04046202207304	146.77060657272236
2024-06-01 12:13:00	151709257.06920454	66.3764298224483	69.95871400057209	31.821760328249674	113.6235701775517	110.04128599942791	148.17823967175033
2024-06-01 12:13:30	151709440.4180854	68.07247070700386	69.95973456516069	30.453290759785215	111.92752929299616	110.0402654348393	149.5467092402148
2024-06-01 12:14:00	151708921.60213855	69.77228261499036	69.95916998722699	29.130912111872483	110.22771738500964	110.04083001277301	150.8690878881275
2024-06-01 12:14:30	151708400.39381883	71.47429346590516	69.96021223433657	27.859706084761303	108.52570653409485	110.03978776566343	152.14029391523871
2024-06-01 12:15:00	151707876.86312592	73.18000773633563	69.96036278069238	26.64771140924316	106.81999226366437	110.03963721930762	153.35228859075684
2024-06-01 12:15:30	151707351.3290004	74.88744238055385	69.95958144088445	25.504768968070263	105.11255761944615	110.04041855911557	154.49523103192973
2024-06-01 12:16:00	151706823.91597396	76.59786372619139	69.9599371228876	24.43776661638095	103.40213627380864	110.0400628771124	155.56223338361906
2024-06-01 12:16:30	151706617.90049353	78.30904742220594	69.96086780688304	23.458946984026934	101.69095257779406	110.03913219311697	156.5410530159731
2024-06-01 12:17:00	151706087.3507281	80.02290991533116	69.96092242704128	22.579864614568166	99.97709008466883	110.03907757295873	157.42013538543185
2024-06-01 12:17:30	151705555.58160776	81.73754158181453	69.96135421367289	21.81242223214078	98.2624584181855	110.03864578632712	158.1875777678592
2024-06-01 12:18:00	151705399.22148472	83.45388397327122	69.96151028940363	21.168904224956453	96.5461160267288	110.03848971059638	158.83109577504356
2024-06-01 12:18:30	151704865.58217916	85.17144058712206	69.96220805654288	20.66037274568277	94.82855941287795	110.03779194345711	159.33962725431724
2024-06-01 12:19:00	151704331.4053568	86.888974560956	69.96175613538972	20.29895748333659	93.111025439044	110.0382438646103	159.70104251666342
2024-06-01 12:19:30	151704119.8158662	88.60709444396502	69.96233288805357	20.09019806462755	91.39290555603499	110.03766711194643	159.90980193537246
2024-06-01 12:20:00	151712268.71886152	90.32488240911783	69.96084927085799	20.042011779458257	89.67511759088217	110.03915072914202	159.95798822054175
2024-06-01 12:20:30	151711734.04686928	92.04441775988089	69.96112000136448	20.151872026733702	87.95558224011914	110.03887999863552	159.8481279732663
2024-06-01 12:21:00	151711199.70280743	93.76285948904523	69.96045199876416	20.419832322429727	86.23714051095479	110.03954800123584	159.58016767757027
2024-06-01 12:21:30	151710665.84884304	95.4811270689903	69.96178009836328	20.837047487649926	84.51887293100971	110.03821990163672	159.16295251235007
2024-06-01 12:22:00	151710132.6451404	97.19931276295625	69.9624485986074	21.397449504929185	82.80068723704375	110.0375514013926	158.60255049507083
2024-06-01 12:22:30	151710299.64662108	98.91695845859795	69.96282125287861	22.08983784080042	81.08304154140207	110.0371787471214	157.9101621591996
2024-06-01 12:23:00	151709768.5011678	100.63333354435605	69.96221826862997	22.902663459507302	79.36666645564398	110.03778173137002	157.0973365404927
2024-06-01 12:23:30	151709238.68577096	102.34810579268466	69.96387457210366	23.820682723383932	77.65189420731535	110.03612542789634	156.17931727661608
2024-06-01 12:24:00	151708710.3944297	104.06173530150527	69.96328641406514	24.83631989619995	75.93826469849473	110.03671358593488	155.16368010380006
2024-06-01 12:24:30	151708183.8509895	105.77370361720321	69.96327197906218	25.935748406149948	74.2262963827968	110.03672802093782	154.06425159385006
