Fecha	Distancia	angCara_+X	angCara_+Y	angCara_+Z	angCara_-X	angCara_-Y	angCara_-Z	angPanel_1	angPanel_2	angPanel_3	angPanel_4
2023-12-21 00:23:19	147170719.76237643	143.70677460314485	64.7126941899478	65.81024451248463	36.29322539685514	115.2873058100522	114.18975548751538	18.461282135824757	30.898387183239386	30.987262106394287	30.396778872465593
2023-12-21 00:23:28	147170685.51905483	144.06787600659342	64.71450539806415	66.27167306816666	35.93212399340659	115.28549460193585	113.72832693183334	18.841268641893933	30.62651099596897	30.711400731006087	30.110601653735277
2023-12-21 00:23:36	147170654.3938002	144.42542979434901	64.71212611385866	66.73790788065293	35.57457020565097	115.28787388614136	113.26209211934709	19.224582298306217	30.352073795490572	30.432904723758075	29.8217398432744
2023-12-21 00:23:45	147170621.23189795	144.77920308372114	64.71427755972785	67.19954711121159	35.22079691627887	115.2857224402722	112.8004528887884	19.60989071624883	30.08675522624462	30.163466825127827	29.54191959751601
2023-12-21 00:23:54	147170591.00707677	145.1292997757141	64.712403354798	67.66602602352451	34.87070022428592	115.287596645202	112.3339739764755	19.998468917225555	29.81912490610478	29.891639102084213	29.259659793656684
2023-12-21 00:24:02	147170558.75250715	145.47605524431896	64.71167951058497	68.13237724293457	34.523944755681065	115.28832048941503	111.86762275706543	20.38990455880645	29.55581804578051	29.624059445514373	28.98160836636923
2023-12-21 00:24:11	147170527.04611638	145.8181670149026	64.71435393406442	68.59437682782875	34.1818329850974	115.28564606593558	111.40562317217126	20.782041545269472	29.300930220189112	29.364845189426312	28.71194006171975
2023-12-21 00:24:20	147170498.37450963	146.15619356646513	64.71322070310387	69.06105161762733	33.843806433534866	115.28677929689616	110.93894838237267	21.177218613926776	29.044235878621752	29.10374220642617	28.44034198464427
2023-12-21 00:24:28	147170467.59034285	146.4899387029147	64.71231205159066	69.52777368189567	33.510061297085294	115.28768794840934	110.47222631810435	21.574317003075343	28.791356081888626	28.846382497816027	28.172476680775482
2023-12-21 00:24:37	147170439.84002334	146.8200238669917	64.71261689248568	69.99439502671915	33.179976133008275	115.28738310751432	110.00560497328085	21.973765739458372	28.543215735946802	28.593684523248356	27.90925378029236
2023-12-21 00:24:46	147170410.0759708	147.14491642461658	64.71221884644333	70.46118501022747	32.85508357538344	115.28778115355668	109.53881498977253	22.374365524386665	28.298311698532405	28.344157057179693	27.649217434952128
2023-12-21 00:24:54	147170380.77831274	147.4658801573689	64.71298233521938	70.92785973082239	32.534119842631135	115.28701766478063	109.07214026917764	22.777034589948617	28.05831912867614	28.099463739916427	27.394010890940265
