Fecha	Distancia	cosCara_+X	cosCara_+Y	cosCara_+Z	cosCara_-X	cosCara_-Y	cosCara_-Z	cosPanel_1	cosPanel_2	cosPanel_3	cosPanel_4
2023-12-21 00:36:34	147169829.36242777	-0.8431281742476927	0.4272668331251291	-0.32646276219651066	0.8431281742476927	-0.4272668331251291	0.32646276219651066	0.544979535849311	0.8796826689022084	0.8822538454729351	0.8879854475329099
2023-12-21 00:36:43	147169843.02437836	-0.8401181953770255	0.4272959891407438	-0.3340951293579174	0.8401181953770255	-0.4272959891407438	0.3340951293579174	0.5388520077363477	0.8776598566326496	0.8802576639717739	0.885950617447216
2023-12-21 00:36:51	147169857.08390757	-0.8370442863459172	0.4272790855245595	-0.34174470847249533	0.8370442863459172	-0.4272790855245595	0.34174470847249533	0.5326510396614297	0.8755599882932286	0.878184447997326	0.8838384781278908
2023-12-21 00:37:00	147169874.23392114	-0.8338926069965948	0.4272814825215977	-0.3493617819547071	0.8338926069965948	-0.4272814825215977	0.3493617819547071	0.5264350812221922	0.8734226813620178	0.8760734181928236	0.8816873094045758
2023-12-21 00:37:09	147169889.3096304	-0.8306783290243768	0.4272959997023465	-0.3569196580851803	0.8306783290243768	-0.4272959997023465	0.3569196580851803	0.5202241566494644	0.8712528450404539	0.8739294172529297	0.8795022310658145
2023-12-21 00:37:17	147169904.9169496	-0.8273919572547396	0.42727028749584123	-0.36450329284300376	0.8273919572547396	-0.42727028749584123	0.36450329284300376	0.5139335105053948	0.8690048005008758	0.8717072353082165	0.8772385248546346
2023-12-21 00:37:26	147169923.48019743	-0.8240405333744719	0.4273154697965041	-0.3719659777835991	0.8240405333744719	-0.4273154697965041	0.3719659777835991	0.5077160678800738	0.8667666021906925	0.8694940493160462	0.8749821572695178
2023-12-21 00:37:35	147169940.09857538	-0.820623209129917	0.4272557360928083	-0.37951295710833016	0.820623209129917	-0.4272557360928083	0.37951295710833016	0.5013513369929614	0.8644059325847188	0.8671588353462212	0.8726041504531932
2023-12-21 00:37:43	147169959.67511436	-0.8171255636711258	0.42729353085310107	-0.38694450724391327	0.8171255636711258	-0.42729353085310107	0.38694450724391327	0.4950631837895523	0.8620647063985571	0.8648421442809859	0.8702425032877977
2023-12-21 00:37:52	147169977.1756218	-0.8135698557815612	0.427273629630178	-0.3943872908528157	0.8135698557815612	-0.427273629630178	0.3943872908528157	0.48870171178582067	0.8596417104399741	0.8624437178946156	0.8677990568562327
