Fecha	Distancia	cosCara_+X	cosCara_+Y	cosCara_+Z	cosCara_-X	cosCara_-Y	cosCara_-Z	cosPanel_1	cosPanel_2	cosPanel_3
2023-12-21 05:36:57	147168287.36825988	-0.7524492801422252	0.427705452339101	-0.500887339481497	0.7524492801422252	-0.427705452339101	0.500887339481497	0.3921752122001867	0.8186632181891014	0.821790407118147
2023-12-21 05:37:06	147168315.57850036	-0.7478569031494712	0.42768354784993456	-0.5077369745352167	0.7478569031494712	-0.42768354784993456	0.5077369745352167	0.3855565169023675	0.8155489293977443	0.8186955367582327
2023-12-21 05:37:14	147168341.98940825	-0.7432109788613701	0.42770438280460316	-0.5144962602679028	0.7432109788613701	-0.42770438280460316	0.5144962602679028	0.37898374489338815	0.8124310824161467	0.8155964832177545
2023-12-21 05:37:23	147168371.0652602	-0.7384961898198982	0.4277020316037171	-0.5212430812812255	0.7384961898198982	-0.4277020316037171	0.5212430812812255	0.37236502377644165	0.8092500377375241	0.8124340597985478
2023-12-21 05:37:32	147168398.30233145	-0.7337190392368951	0.4276603491099195	-0.5279801106675039	0.7337190392368951	-0.4276603491099195	0.5279801106675039	0.3656932434726645	0.8059981121943108	0.8092006460456744
2023-12-21 05:37:40	147168426.05589807	-0.7288831827071374	0.42768701740302384	-0.5346149278795155	0.7288831827071374	-0.42768701740302384	0.5346149278795155	0.3590860438462704	0.8027582953345715	0.8059785950611346
2023-12-21 05:37:49	147168456.3445944	-0.7239908333848026	0.42768769804193135	-0.5412213097415631	0.7239908333848026	-0.42768769804193135	0.5412213097415631	0.35244764126868444	0.7994615309122504	0.802699389282667
2023-12-21 05:37:58	147168484.96626276	-0.719036416705725	0.42765751587819106	-0.5478098945472653	0.719036416705725	-0.42765751587819106	0.5478098945472653	0.34576586057383035	0.7961004199655767	0.7993556741915657
2023-12-21 05:38:06	147168516.1205583	-0.7140243601950906	0.4277071975006064	-0.5542885225712046	0.7140243601950906	-0.4277071975006064	0.5542885225712046	0.33916039446269647	0.7927607321924466	0.7960325794659169
2023-12-21 05:38:15	147168545.60595208	-0.7089491501860202	0.42763957412167786	-0.5608168124223363	0.7089491501860202	-0.42763957412167786	0.5608168124223363	0.3324220683188391	0.7892913423434417	0.7925801052846805
2023-12-21 05:38:24	147168575.44095442	-0.7038154245447485	0.42766401580925345	-0.5672277653242992	0.7038154245447485	-0.42766401580925345	0.5672277653242992	0.32577085646909626	0.7858519036445291	0.7891567179731004
2023-12-21 05:38:32	147168607.885412	-0.6986307591971241	0.4276662274092021	-0.5735997387004557	0.6986307591971241	-0.4276662274092021	0.5735997387004557	0.31909990485881967	0.782362069883618	0.7856826867175803
2023-12-21 05:38:41	147168638.53216305	-0.6933797560303689	0.42767041883171103	-0.5799332088987272	0.6933797560303689	-0.42767041883171103	0.5799332088987272	0.31241402596201523	0.7788295705885946	0.7821656532894574
2023-12-21 05:38:49	147168669.6578236	-0.6880774865695547	0.42766266437177414	-0.5862201105204083	0.6880774865695547	-0.42766266437177414	0.5862201105204083	0.30571853787832	0.7752541453130155	0.7786053880883563
2023-12-21 05:38:58	147168703.26312727	-0.682717048079079	0.4276690145065907	-0.592449699378057	0.682717048079079	-0.4276690145065907	0.592449699378057	0.29903069872101085	0.7716506177864573	0.7750165937191886
2023-12-21 05:39:07	147168735.162953	-0.6773008883382898	0.42768849232399314	-0.5986201301240992	0.6773008883382898	-0.42768849232399314	0.5986201301240992	0.29235242310756954	0.7680199042128686	0.7714001862227104
2023-12-21 05:39:15	147168769.67359716	-0.6718275738398468	0.4276266523073199	-0.6048000969451806	0.6718275738398468	-0.4276266523073199	0.6048000969451806	0.28558869465052666	0.7642904555084535	0.7676851239519108
2023-12-21 05:39:24	147168802.38515925	-0.6662967546074716	0.42767453257013555	-0.6108544253670157	0.6662967546074716	-0.42767453257013555	0.6108544253670157	0.2789276502163922	0.760604809030097	0.7640129267900341
2023-12-21 05:39:33	147168835.39216465	-0.6607131332434348	0.427668154601075	-0.6168939172173402	0.6607131332434348	-0.427668154601075	0.6168939172173402	0.27221336035110527	0.7568435808570406	0.7602650715697576
2023-12-21 05:39:41	147168871.06145298	-0.6550740814833549	0.42767419036107696	-0.6228745737849125	0.6550740814833549	-0.42767419036107696	0.6228745737849125	0.2655082033678922	0.753054828156739	0.7564892684344502
2023-12-21 05:39:50	147168904.8823709	-0.649384412336791	0.42763321649751757	-0.6288320261898153	0.649384412336791	-0.42763321649751757	0.6288320261898153	0.2587600783337128	0.7491973846891931	0.7526446504676845
2023-12-21 05:39:59	147168941.36307508	-0.6436404953065383	0.42764623081383446	-0.6347012006229976	0.6436404953065383	-0.42764623081383446	0.6347012006229976	0.2520627706702039	0.7453442770702142	0.7488037264736731
2023-12-21 05:40:07	147168975.95595726	-0.637841339717427	0.4276155047600833	-0.6405492997703277	0.637841339717427	-0.4276155047600833	0.6405492997703277	0.24532048531739492	0.7414218154407899	0.7448933155860246
2023-12-21 05:40:16	147169010.884036	-0.6319867930152653	0.4276631244622953	-0.6462947821462185	0.6319867930152653	-0.4276631244622953	0.6462947821462185	0.2386506986544645	0.7375211166208128	0.7410039061375622
2023-12-21 05:40:24	147169048.47139832	-0.6260848782822868	0.42769166783800466	-0.6519950632084573	0.6260848782822868	-0.42769166783800466	0.6519950632084573	0.23196864731455444	0.733574783156714	0.7370685872691125
2023-12-21 05:40:33	147169084.17143443	-0.6201275814650081	0.4277086347207153	-0.6576527248416917	0.6201275814650081	-0.4277086347207153	0.6576527248416917	0.22527254376082478	0.7295830318756807	0.7330875515981192
2023-12-21 05:40:42	147169120.20448092	-0.6141235174811318	0.4276119897942424	-0.6633251777678961	0.6141235174811318	-0.4276119897942424	0.6633251777678961	0.21847530560527753	0.7254754275291839	0.728990861896083
2023-12-21 05:40:50	147169158.94043368	-0.6080615779604676	0.4276526398261432	-0.6688604765255289	0.6080615779604676	-0.4276526398261432	0.6688604765255289	0.21180310627030688	0.7214319498823437	0.7249572497464757
2023-12-21 05:40:59	147169195.69346088	-0.6019547665520358	0.4275995947494766	-0.6743953184856547	0.6019547665520358	-0.4275995947494766	0.6743953184856547	0.20505116897486533	0.7172887748888434	0.7208240327458599
2023-12-21 05:41:08	147169235.01759258	-0.5957966498850104	0.42760726137716676	-0.6798370260608921	0.5957966498850104	-0.42760726137716676	0.6798370260608921	0.1983584336556032	0.7131569264964384	0.7167014713852227
2023-12-21 05:41:16	147169272.58450776	-0.5895889546513228	0.42768796204388887	-0.6851772556615593	0.5895889546513228	-0.42768796204388887	0.6851772556615593	0.19173782869556277	0.7090467653967247	0.7125998666408562
