Fecha	Distancia	cosCara_+X	cosCara_+Y	cosCara_+Z	cosCara_-X	cosCara_-Y	cosCara_-Z	cosPanel_1	cosPanel_2
2024-01-09 00:29:30	147113244.21069616	0.3812923906979811	-0.5944901679237288	0.7079530726240513	-0.3812923906979811	0.5944901679237288	-0.7079530726240513	0.7079530726240513	0.08023038932672119
2024-01-09 00:30:00	147113389.64053148	0.3581172422015949	-0.5945042939086937	0.7199421402877106	-0.3581172422015949	0.5945042939086937	-0.7199421402877106	0.7199421402877106	0.08869795179203933
2024-01-09 00:30:30	147113153.85867256	0.3345453210549174	-0.5944007678160808	0.7312777552885881	-0.3345453210549174	0.5944007678160808	-0.7312777552885881	0.7312777552885881	0.096786646030196
2024-01-09 00:31:00	147113294.19911775	0.3106538999953463	-0.5944188751940304	0.7417279523051191	-0.3106538999953463	0.5944188751940304	-0.7417279523051191	0.7417279523051191	0.10416324735558298
2024-01-09 00:31:30	147113125.13013312	0.28641016877843467	-0.5944555803292048	0.7513932247736714	-0.28641016877843467	0.5944555803292048	-0.7513932247736714	0.7513932247736714	0.11097167261012574
2024-01-09 00:32:00	147113261.1075155	0.2619184149605264	-0.5944779398536509	0.7602596417882015	-0.2619184149605264	0.5944779398536509	-0.7602596417882015	0.7602596417882015	0.11722536563456769
2024-01-09 00:32:30	147113395.1554818	0.23709406377992082	-0.5945266189795082	0.7683257800211558	-0.23709406377992082	0.5945266189795082	-0.7683257800211558	0.7683257800211558	0.12289456533708172
2024-01-09 00:33:00	147113527.4720328	0.2120395711467073	-0.5944482588017458	0.7756742150384355	-0.2120395711467073	0.5944482588017458	-0.7756742150384355	0.7756742150384355	0.12814610258197964
2024-01-09 00:33:30	147113658.24033052	0.18675469397645159	-0.5945184466318547	0.782093665037768	-0.18675469397645159	0.5945184466318547	-0.782093665037768	0.782093665037768	0.13263570891736892
2024-01-09 00:34:00	147113787.62664175	0.16131559198684012	-0.594586366535175	0.7876828882947972	-0.16131559198684012	0.594586366535175	-0.7876828882947972	0.7876828882947972	0.13653985995976448
2024-01-09 00:34:30	147113915.82476795	0.1356392351068322	-0.5945520171847452	0.7925338458142872	-0.1356392351068322	0.5945520171847452	-0.7925338458142872	0.7925338458142872	0.13999429357566234
2024-01-09 00:35:00	147113664.4732041	0.10992230721878297	-0.5946370987745152	0.796444478376696	-0.10992230721878297	0.5946370987745152	-0.796444478376696	0.796444478376696	0.14269936661018967
2024-01-09 00:35:30	147113483.69537863	0.08403606291236038	-0.5946224498346093	0.7996012020269087	-0.08403606291236038	0.5946224498346093	-0.7996012020269087	0.7996012020269087	0.14494186567433168
2024-01-09 00:36:00	147113609.45659322	0.05799849307812666	-0.5945011762162469	0.8020003281035275	-0.05799849307812666	0.5945011762162469	-0.8020003281035275	0.8020003281035275	0.14672405738995364
2024-01-09 00:36:30	147113734.83164483	0.03196917494969787	-0.5945138720103642	0.803449580148176	-0.03196917494969787	0.5945138720103642	-0.803449580148176	0.803449580148176	0.14773985605626005
2024-01-09 00:37:00	147113859.94897076	0.005933038680397518	-0.5945388333605817	0.8040450078684998	-0.005933038680397518	0.5945388333605817	-0.8040450078684998	0.8040450078684998	0.1481432366950011
2024-01-09 00:37:30	147113984.97039548	-0.020161818516003408	-0.5946013914595643	0.8037678062403829	0.020161818516003408	0.5946013914595643	-0.8037678062403829	0.8037678062403829	0.14790299028799508
2024-01-09 00:38:00	147114110.2572327	-0.046212747335712574	-0.5945378780236728	0.802738496385214	0.046212747335712574	0.5945378780236728	-0.802738496385214	0.802738496385214	0.14722006909067825
2024-01-09 00:38:30	147114235.72710544	-0.07221730801979266	-0.5944968195988024	0.8008484200579306	0.07221730801979266	0.5944968195988024	-0.8008484200579306	0.8008484200579306	0.14591261599334665
2024-01-09 00:39:00	147114054.646972	-0.09806955656092925	-0.5946061454587026	0.7980137178386643	0.09806955656092925	0.5946061454587026	-0.7980137178386643	0.7980137178386643	0.14383087377456427
2024-01-09 00:39:30	147113802.89646494	-0.12390033858557575	-0.5946209823789299	0.7944020351264819	0.12390033858557575	0.5946209823789299	-0.7944020351264819	0.7944020351264819	0.14126653715038145
2024-01-09 00:40:00	147113930.6430894	-0.14963477483366752	-0.5945310748627435	0.7900267306762658	0.14963477483366752	0.5945310748627435	-0.7900267306762658	0.7900267306762658	0.13823630391825303
2024-01-09 00:40:30	147114059.39755186	-0.1751006051592613	-0.5945818300742991	0.7847370422111841	0.1751006051592613	0.5945818300742991	-0.7847370422111841	0.7847370422111841	0.13446003997995784
2024-01-09 00:41:00	147114189.45298713	-0.2004411147224033	-0.5946770013409909	0.7785773074042985	0.2004411147224033	0.5946770013409909	-0.7785773074042985	0.7785773074042985	0.13003715347964634
2024-01-09 00:41:30	147114321.02197528	-0.22559542549077305	-0.5945392732605984	0.7717705336098268	0.22559542549077305	0.5945392732605984	-0.7717705336098268	0.7717705336098268	0.1253214260311779
2024-01-09 00:42:00	147114454.21104747	-0.2504254549627821	-0.5946849609286009	0.7639613136488208	0.2504254549627821	0.5946849609286009	-0.7639613136488208	0.7639613136488208	0.11969645690299344
2024-01-09 00:42:30	147114589.32495672	-0.2750737625968064	-0.594615566860496	0.7554910673052375	0.2750737625968064	0.594615566860496	-0.7554910673052375	0.7554910673052375	0.11375615729125613
2024-01-09 00:43:00	147114419.15387052	-0.29937942131428563	-0.5945806770657556	0.7462209998073969	0.29937942131428563	0.5945806770657556	-0.7462209998073969	0.7462209998073969	0.10722590051193115
2024-01-09 00:43:30	147114558.41474384	-0.3234362838720058	-0.5945889543301798	0.7361066129736988	0.3234362838720058	0.5945889543301798	-0.7361066129736988	0.7361066129736988	0.10006809608447535
2024-01-09 00:44:00	147114321.50045714	-0.3470864424894575	-0.5946288341829614	0.7252224148481795	0.3470864424894575	0.5946288341829614	-0.7252224148481795	0.7252224148481795	0.09234360646780808
2024-01-09 00:44:30	147114465.72192022	-0.3703780350116654	-0.5945839971652133	0.7136455573293619	0.3703780350116654	0.5945839971652133	-0.7136455573293619	0.7136455573293619	0.08418923657071964
2024-01-09 00:45:00	147114612.63212457	-0.39328984895155406	-0.5945846880902748	0.7012789340913177	0.39328984895155406	0.5945846880902748	-0.7012789340913177	0.7012789340913177	0.07544422486092309
2024-01-09 00:45:30	147114762.3754641	-0.41577599824907174	-0.594628958233752	0.6881473107626236	0.41577599824907174	0.594628958233752	-0.6881473107626236	0.6881473107626236	0.0661274612385592
2024-01-09 00:46:00	147114915.20237845	-0.4379245595096111	-0.5946045244305572	0.6742903971621012	0.4379245595096111	0.5946045244305572	-0.6742903971621012	0.6742903971621012	0.05634642097324281
2024-01-09 00:46:30	147114763.9397479	-0.45946394019922254	-0.5946263278742986	0.6597820987684744	0.45946394019922254	0.5946263278742986	-0.6597820987684744	0.6597820987684744	0.046072087432708825
2024-01-09 00:47:00	147106192.3924721	-0.4806094836880409	-0.5945572238547779	0.644605485356132	0.4806094836880409	0.5945572238547779	-0.644605485356132	0.644605485356132	0.03538946509420501
2024-01-09 00:47:30	147106355.38577157	-0.5011975088276934	-0.5945665877335969	0.6287222199793335	0.5011975088276934	0.5945665877335969	-0.6287222199793335	0.6287222199793335	0.024151679176674275
2024-01-09 00:48:00	147106521.9832562	-0.5213151079463809	-0.5946257339032337	0.6120872444406059	0.5213151079463809	0.5946257339032337	-0.6120872444406059	0.6120872444406059	0.012347152510736096
2024-01-09 00:48:30	147106313.95818648	-0.5408225498869927	-0.5946374470015836	0.59490946887503	0.5408225498869927	0.5946374470015836	-0.59490946887503	0.59490946887503	0.00019234851134503078
2024-01-09 00:49:00	147106488.4112709	-0.5598013619279608	-0.5945976839633433	0.5771273944364699	0.5598013619279608	0.5945976839633433	-0.5771273944364699	0.5771273944364699	-0.0123533601937445
2024-01-09 00:49:30	147106667.02653638	-0.5782316237403962	-0.5945145307031823	0.5587491942627926	0.5782316237403962	0.5945145307031823	-0.5587491942627926	0.5587491942627926	-0.02528991192841784
2024-01-09 00:50:00	147106542.5092577	-0.5959641382066224	-0.5946046782151385	0.5396962317973969	0.5959641382066224	0.5946046782151385	-0.5396962317973969	0.5396962317973969	-0.038826134806403415
2024-01-09 00:50:30	147106729.67755565	-0.6130992339537964	-0.5946517636002671	0.5200948080613385	0.6130992339537964	0.5946517636002671	-0.5200948080613385	0.5200948080613385	-0.0527197288462002
2024-01-09 00:51:00	147106921.38756305	-0.6296080708756543	-0.5945791503348801	0.50006930627193	0.6296080708756543	0.5945791503348801	-0.50006930627193	0.50006930627193	-0.066828551625795
2024-01-09 00:51:30	147107117.66119754	-0.6454667300644166	-0.5945718194558809	0.47943409545929594	0.6454667300644166	0.5945718194558809	-0.47943409545929594	0.47943409545929594	-0.08141466540837008
2024-01-09 00:52:00	147107318.73970598	-0.6606528123891273	-0.5945464599067617	0.4583147046459168	0.6606528123891273	0.5945464599067617	-0.4583147046459168	0.4583147046459168	-0.0963303979578896
2024-01-09 00:52:30	147107524.6787649	-0.675144678331348	-0.5945872161810313	0.4366299413404357	0.675144678331348	0.5945872161810313	-0.4366299413404357	0.4366299413404357	-0.11169266017753235
2024-01-09 00:53:00	147107735.48277506	-0.6889209074648346	-0.5945459953215748	0.41461191818965726	0.6889209074648346	0.5945459953215748	-0.41461191818965726	0.41461191818965726	-0.1272326061065222
2024-01-09 00:53:30	147107572.98963237	-0.701962127997544	-0.594582251860182	0.3920728460758729	0.701962127997544	0.594582251860182	-0.3920728460758729	0.3920728460758729	-0.14319577408414325
2024-01-09 00:54:00	147107486.72765583	-0.7142435306904401	-0.5945637336869554	0.36925620570422624	0.7142435306904401	0.5945637336869554	-0.36925620570422624	0.36925620570422624	-0.15931648088896555
2024-01-09 00:54:30	147107713.00744924	-0.7258654555506183	-0.5945129723128898	0.34593881856476677	0.7258654555506183	0.5945129723128898	-0.34593881856476677	0.34593881856476677	-0.17576846974300533
2024-01-09 00:55:00	147107944.60486886	-0.7366942439315141	-0.5944883573731483	0.32228121866771997	0.7366942439315141	0.5944883573731483	-0.32228121866771997	0.32228121866771997	-0.19247951366599556
2024-01-09 00:55:30	147108181.74404064	-0.7467160321689423	-0.594500888407347	0.2983016275261442	0.7467160321689423	0.594500888407347	-0.2983016275261442	0.2983016275261442	-0.20944450595154177
2024-01-09 00:56:00	147108424.23392794	-0.7559102479916177	-0.594558045784975	0.2740445715090941	0.7559102479916177	0.594558045784975	-0.2740445715090941	0.2740445715090941	-0.22663725112213526
2024-01-09 00:56:30	147108672.39352772	-0.7643673547609738	-0.5946001080138064	0.24938576247589056	0.7643673547609738	0.5946001080138064	-0.24938576247589056	0.24938576247589056	-0.24410340469273628
2024-01-09 00:57:00	147108926.05543017	-0.772072109823234	-0.5945477534575901	0.22453869620097328	0.772072109823234	0.5945477534575901	-0.22453869620097328	0.22453869620097328	-0.26163591348659554
2024-01-09 00:57:30	147108878.0537063	-0.7789012971324644	-0.5945764883333771	0.19947824153654994	0.7789012971324644	0.5945764883333771	-0.19947824153654994	0.19947824153654994	-0.27937664954495245
2024-01-09 00:58:00	147108764.60843068	-0.7849472479184187	-0.5945754851474171	0.17417752566566708	0.7849472479184187	0.5945754851474171	-0.17417752566566708	0.17417752566566708	-0.29726624794653284
2024-01-09 00:58:30	147109035.4560343	-0.790191027137363	-0.5945281620960363	0.14877635936636138	0.790191027137363	0.5945281620960363	-0.14877635936636138	0.14877635936636138	-0.3151941224362814
2024-01-09 00:59:00	147109312.11122966	-0.7946173561653671	-0.5945056625546056	0.12307020139445488	0.7946173561653671	0.5945056625546056	-0.12307020139445488	0.12307020139445488	-0.33335521147814984
2024-01-09 00:59:30	147109594.65689325	-0.7981172779140834	-0.5945795582687637	0.09738562308644962	0.7981172779140834	0.5945795582687637	-0.09738562308644962	0.09738562308644962	-0.3515692031322391
2024-01-09 01:00:00	147109882.92559335	-0.8008648525477419	-0.5945511038656016	0.07158542341760832	0.8008648525477419	0.5945511038656016	-0.07158542341760832	0.07158542341760832	-0.3697925789726132
2024-01-09 01:00:30	147110177.14406595	-0.8027512514011411	-0.5945626040870191	0.045669882802180546	0.8027512514011411	0.5945626040870191	-0.045669882802180546	0.045669882802180546	-0.3881257653644468
2024-01-09 01:01:00	147110477.21346158	-0.8038494116023676	-0.5945068285982431	0.019691475734098907	0.8038494116023676	0.5945068285982431	-0.019691475734098907	0.019691475734098907	-0.4064558339403746
2024-01-09 01:01:30	147110475.72390577	-0.804055563432472	-0.5945214801753066	-0.00623382093524838	0.804055563432472	0.5945214801753066	0.00623382093524838	-0.00623382093524838	-0.42479814724903964
