Fecha	Distancia	angCara_+X	angCara_+Y	angCara_+Z	angCara_-X	angCara_-Y	angCara_-Z	angPanel_1	angPanel_2
2024-01-09 00:29:00	147113095.95766154	66.16752828974825	126.46739263217916	45.94770393825842	113.83247171025177	53.53260736782086	134.0522960617416	45.94770393825842	85.90662951345826
2024-01-09 00:29:30	147113244.21069616	67.58624069073107	126.47629585584049	44.93138519958703	112.41375930926894	53.52370414415953	135.068614800413	44.93138519958703	85.39819136028206
2024-01-09 00:30:00	147113389.64053148	69.0153856402216	126.47730239940229	43.950296360363026	110.9846143597784	53.52269760059772	136.049703639637	43.950296360363026	84.91129435883562
2024-01-09 00:30:30	147113153.85867256	70.45510846821031	126.46992597644005	43.00637999251906	109.54489153178967	53.53007402355994	136.99362000748096	43.00637999251906	84.44583896466992
2024-01-09 00:31:00	147113294.19911775	71.90135805013902	126.47121610949806	42.12118064786607	108.09864194986099	53.52878389050194	137.87881935213392	42.12118064786607	84.0210401873771
2024-01-09 00:31:30	147113125.13013312	73.35684039864351	126.47383138054475	41.288792136595546	106.64315960135649	53.52616861945527	138.71120786340447	41.288792136595546	83.62866874380227
2024-01-09 00:32:00	147113261.1075155	74.81607539886777	126.4754245582904	40.512907316354486	105.18392460113225	53.52457544170962	139.48709268364553	40.512907316354486	83.26800255993675
2024-01-09 00:32:30	147113395.1554818	76.28490711832538	126.47889319345525	39.7962175063307	103.71509288167462	53.52110680654476	140.2037824936693	39.7962175063307	82.94081421247112
2024-01-09 00:33:00	147113527.4720328	77.75809683972388	126.47330970865067	39.133800719971596	102.24190316027614	53.52669029134933	140.86619928002838	39.133800719971596	82.63752421794224
2024-01-09 00:33:30	147113658.24033052	79.23654789822916	126.47831086129841	38.547328870456816	100.76345210177082	53.52168913870159	141.45267112954318	38.547328870456816	82.37807347357209
2024-01-09 00:34:00	147113787.62664175	80.71673387199907	126.48315072275189	38.03050199238402	99.28326612800093	53.51684927724814	141.96949800761598	38.03050199238402	82.1523280380858
2024-01-09 00:34:30	147113915.82476795	82.20441462845292	126.48070300632114	37.5770621661328	97.79558537154708	53.51929699367887	142.42293783386722	37.5770621661328	81.95248395861786
2024-01-09 00:35:00	147113664.4732041	83.68916305801488	126.48676601658225	37.208096068098804	96.31083694198514	53.51323398341778	142.7919039319012	37.208096068098804	81.79592278664076
2024-01-09 00:35:30	147113483.69537863	85.17940298305558	126.48572208275132	36.907963190158654	94.8205970169444	53.51427791724868	143.09203680984135	36.907963190158654	81.66608722569256
2024-01-09 00:36:00	147113609.45659322	86.67506526559109	126.47708024787448	36.67845357492474	93.32493473440891	53.52291975212552	143.32154642507527	36.67845357492474	81.56287169360994
2024-01-09 00:36:30	147113734.83164483	88.16798904932828	126.4779848921033	36.53921280045677	91.83201095067172	53.522015107896706	143.46078719954323	36.53921280045677	81.50402945124999
2024-01-09 00:37:00	147113859.94897076	89.66005992953667	126.47976355456174	36.48187300674907	90.33994007046333	53.52023644543826	143.51812699325095	36.48187300674907	81.48066029119563
2024-01-09 00:37:30	147113984.97039548	91.15526538631532	126.4842214151777	36.50857721659343	88.8447346136847	53.51577858482231	143.49142278340656	36.50857721659343	81.49457872321129
2024-01-09 00:38:00	147114110.2572327	92.64873873549836	126.47969547969257	36.607588996974364	87.35126126450164	53.520304520307434	143.39241100302564	36.607588996974364	81.53414031193552
2024-01-09 00:38:30	147114235.72710544	94.14135205047045	126.47676981767262	36.78880295185848	85.85864794952955	53.52323018232738	143.21119704814154	36.78880295185848	81.60986967544326
2024-01-09 00:39:00	147114054.646972	95.62801776800428	126.48456019339969	37.059157189980326	84.37198223199572	53.5154398066003	142.9408428100197	37.059157189980326	81.73041645727227
2024-01-09 00:39:30	147113802.89646494	97.11725616517425	126.48561750758866	37.401187207322366	82.88274383482573	53.51438249241135	142.59881279267765	37.401187207322366	81.87885808400179
2024-01-09 00:40:00	147113930.6430894	98.60576182610482	126.47921070554244	37.81199041294025	81.39423817389519	53.520789294457565	142.18800958705975	37.81199041294025	82.05419841238715
2024-01-09 00:40:30	147114059.39755186	100.08451275758549	126.48282745253232	38.303635580145254	79.91548724241451	53.51717254746767	141.69636441985477	38.303635580145254	82.27260221443386
2024-01-09 00:41:00	147114189.45298713	101.56275539942298	126.48960968203455	38.86950105361214	78.43724460057702	53.510390317965445	141.13049894638786	38.86950105361214	82.52826072164314
2024-01-09 00:41:30	147114321.02197528	103.03789378392247	126.47979490073396	39.486851466218795	76.96210621607754	53.520205099266015	140.51314853378122	39.486851466218795	82.80068189827762
2024-01-09 00:42:00	147114454.21104747	104.50268983874373	126.49017693634028	40.185325809451	75.49731016125628	53.50982306365975	139.814674190549	40.185325809451	83.12541542491527
2024-01-09 00:42:30	147114589.32495672	105.96640997879211	126.48523158320518	40.93170333681926	74.0335900212079	53.51476841679484	139.06829666318075	40.93170333681926	83.4681126874387
2024-01-09 00:43:00	147114419.15387052	107.42033355187382	126.48274528884573	41.735918972074536	72.57966644812618	53.517254711154294	138.26408102792547	41.735918972074536	83.84457456840005
2024-01-09 00:43:30	147114558.41474384	108.8708646078464	126.48333513077894	42.59919365521972	71.1291353921536	53.51666486922106	137.4008063447803	42.59919365521972	84.25690823537032
2024-01-09 00:44:00	147114321.50045714	110.30921211428743	126.48617705163927	43.51264673007194	69.69078788571257	53.51382294836075	136.48735326992806	43.51264673007194	84.70155253180901
2024-01-09 00:44:30	147114465.72192022	111.73893356556216	126.48298188022638	44.46769263878229	68.26106643443784	53.51701811977362	135.5323073612177	44.46769263878229	85.17059556762942
