Fecha	Distancia	angCara_+X	angCara_+Y	angCara_+Z	angCara_-X	angCara_-Y	angCara_-Z	angPanel_1	angPanel_2	angPanel_3
2023-12-21 00:00:00	147179535.32174572	70.11201650780121	64.71245064250394	33.0977159319539	109.8879834921988	115.28754935749605	146.9022840680461	57.7315329706597	84.58342552556694	84.8989068305078
2023-12-21 00:00:08	147179473.00988597	70.58180570181014	64.7092544980073	32.774340273229065	109.41819429818986	115.2907455019927	147.2256597267709	57.306421782692766	84.28356210674893	84.59891501044086
2023-12-21 00:00:17	147179410.50395238	71.05051965417232	64.71535147144736	32.44872478553793	108.94948034582768	115.28464852855265	147.55127521446207	56.88511622056631	83.9896536377788	84.30486283606706
2023-12-21 00:00:25	147179350.3987777	71.52067994168111	64.71499501462269	32.13265310684209	108.47932005831888	115.2850049853773	147.86734689315793	56.460523088621144	83.68948864984587	84.00454262779246
2023-12-21 00:00:34	147179287.5447589	71.99105440119793	64.71306981905056	31.822984454869232	108.0089455988021	115.28693018094947	148.17701554513079	56.03523137131779	83.38714952920478	83.70203599020611
2023-12-21 00:00:43	147179227.06079215	72.46150606180204	64.71091213164841	31.51880913116636	107.53849393819796	115.28908786835161	148.48119086883366	55.60977261857577	83.0836342238784	83.39834062319808
2023-12-21 00:00:51	147179163.8375295	72.932294448173	64.71766183727281	31.21213928002234	107.06770555182702	115.28233816272719	148.7878607199777	55.186818097812775	82.78496521313842	83.09947525803274
2023-12-21 00:01:00	147179100.42071456	73.40312722906215	64.71554629296703	30.918750437836103	106.59687277093785	115.28445370703297	149.0812495621639	54.76099750739982	82.47932523802446	82.7936298919031
2023-12-21 00:01:09	147179039.44980368	73.87512516016666	64.7135091850597	30.630351506545	106.12487483983335	115.28649081494031	149.369648493455	54.33412147715579	82.17204058318926	82.48612692331868
2023-12-21 00:01:17	147178975.69152123	74.34593114511665	64.7112843488275	30.34877056336091	105.65406885488335	115.2887156511725	149.65122943663908	53.908231397363764	81.86446850663094	82.17832491891306
2023-12-21 00:01:26	147178911.79497766	74.8181747557587	64.71839547115297	30.064096776814253	105.18182524424131	115.28160452884701	149.93590322318576	53.48408327539607	81.56136770314285	81.87497647131246
2023-12-21 00:01:35	147178850.27062583	75.28985337589036	64.7162940407885	29.79415259147305	104.71014662410964	115.28370595921149	150.20584740852695	53.05740866485383	81.25147574432268	81.56482953990012
2023-12-21 00:01:43	147178786.12766933	75.76294118255046	64.71434136792038	29.52967693752636	104.23705881744954	115.28565863207963	150.47032306247365	52.62948001597575	80.93985335273736	81.25293923380835
2023-12-21 00:01:52	147178724.30785325	76.23586493128926	64.71206104570626	29.272166216762137	103.76413506871076	115.28793895429374	150.72783378323788	52.20155855229846	80.62721470391286	80.94002092182723
2023-12-21 00:02:00	147178659.778352	76.70852529951922	64.71928828660523	29.0128747246824	103.29147470048078	115.2807117133948	150.9871252753176	51.77707465898452	80.32032928315097	80.6328381846791
2023-12-21 00:02:09	147178595.19365633	77.1821952639039	64.71732488560014	28.76827381197411	102.81780473609611	115.28267511439986	151.2317261880259	51.34854947812026	80.0056445473933	80.31784903598597
2023-12-21 00:02:18	147178532.97100496	77.65494085442052	64.7151015935069	28.531450128579586	102.34505914557948	115.28489840649311	151.4685498714204	50.920739566445235	79.69052142729619	80.00241044615824
2023-12-21 00:02:26	147178468.09148243	78.12870067971407	64.71300126551817	28.301238936676224	101.87129932028591	115.28699873448181	151.6987610633238	50.49202542711388	79.37394375396475	79.68550475995235
2023-12-21 00:02:35	147178405.70562842	78.60265378150422	64.7114388714941	28.0778464346134	101.3973462184958	115.28856112850592	151.9221535653866	50.06329606521333	79.05674736533183	79.36796809245821
2023-12-21 00:02:44	147178340.53179955	79.07670374734332	64.70919434189884	27.862622433906157	100.92329625265671	115.29080565810116	152.13737756609385	49.634212075442626	78.73817149073389	79.04904065594452
2023-12-21 00:02:52	147178275.25108203	79.5504970049677	64.70722540923326	27.65499905587635	100.44950299503232	115.29277459076674	152.34500094412365	49.2054299452223	78.41911647636763	78.7296224329549
2023-12-21 00:03:01	147178212.51512787	80.02443341637091	64.71487396668208	27.44613544263325	99.97556658362909	115.28512603331794	152.55386455736675	48.7799543427994	78.10572947264394	78.41585287082947
2023-12-21 00:03:10	147178147.07184508	80.49948061581878	64.7107808816115	27.25594707834244	99.5005193841812	115.28921911838852	152.74405292165756	48.349246714013766	77.78272661256197	78.0924641307465
2023-12-21 00:03:18	147178084.1337052	80.97323407300554	64.70994862107958	27.0714312085564	99.02676592699446	115.29005137892042	152.92856879144358	47.92086618358258	77.4620205742737	77.7713591109338
2023-12-21 00:03:27	147178018.4886138	81.44814882883537	64.71787548050884	26.886475386652094	98.55185117116463	115.28212451949118	153.11352461334792	47.494654510532705	77.14575391378851	77.45467331092894
2023-12-21 00:03:36	147177952.69687065	81.92274039176677	64.71009279555952	26.725231888719065	98.07725960823323	115.28990720444048	153.27476811128096	47.06293202971677	76.81810092115433	77.12660356633408
2023-12-21 00:03:44	147177889.5411514	82.3984287097714	64.71212625463144	26.562914840243828	97.60157129022862	115.28787374536854	153.43708515975618	46.63384883925958	76.49567493435207	76.80373963936492
2023-12-21 00:03:53	147177823.5876228	82.87367803336508	64.71825229569718	26.40564091674761	97.12632196663492	115.28174770430282	153.59435908325239	46.20672198770452	76.1756011486063	76.48321281495683
2023-12-21 00:04:01	147177757.67118943	83.34879582255608	64.71644824611579	26.26509635678342	96.65120417744393	115.28355175388424	153.73490364321657	45.776728809811836	75.84937259533802	76.15652723783448
